content_id,title,type,topic_category,channel,ctr,engagement_rate,reach,headline_length,has_emoji,posting_hour
C001,퇴근 후 5분 루틴으로 인생 바뀜,숏폼,생산성,유튜브,5.8,9.2,42000,18,True,20
C002,주니어 마케터가 3개월 만에 한 일,숏폼,커리어,유튜브,5.2,8.7,38500,19,True,20
C003,이 앱 하나로 일정 관리 끝,숏폼,생산성,인스타그램,4.9,8.1,31200,15,True,20
C004,2026 마케팅 트렌드 30초 요약,숏폼,트렌드,유튜브,5.5,9.0,45100,19,True,18
C005,합격자가 말하는 포트폴리오 비밀,숏폼,커리어,인스타그램,4.7,7.8,28900,17,True,20
C006,하루 1시간 아낀 자동화 꿀팁,숏폼,생산성,유튜브,5.1,8.4,36700,16,True,18
C007,AI 툴 3개로 업무 반토막,숏폼,트렌드,인스타그램,4.6,7.5,27500,15,True,20
C008,이직 6개월 차 솔직 후기,숏폼,후기,유튜브,4.3,8.9,24300,14,True,20
C009,노션으로 만드는 업무 대시보드,카드뉴스,생산성,인스타그램,4.5,7.2,26800,16,True,20
C010,비전공자 개발자 취업 로드맵,카드뉴스,커리어,인스타그램,4.2,6.9,25100,15,True,18
C011,요즘 뜨는 생성형 AI 5가지,카드뉴스,트렌드,인스타그램,4.4,7.0,27200,16,True,20
C012,갓생 사는 사람들의 아침 루틴,카드뉴스,생산성,인스타그램,4.0,6.5,23400,16,True,18
C013,면접 질문 TOP10 답변 정리,카드뉴스,커리어,인스타그램,3.9,6.2,22100,17,True,20
C014,수강생 100명 만족도 후기 모음,카드뉴스,후기,인스타그램,3.7,7.4,20800,18,True,18
C015,링크드인 프로필 최적화 체크리스트,카드뉴스,커리어,인스타그램,3.8,6.0,21500,18,True,20
C016,2026 상반기 콘텐츠 트렌드 정리,카드뉴스,트렌드,인스타그램,4.1,6.7,24900,19,True,18
C017,엑셀 단축키 모음 (저장용),카드뉴스,생산성,인스타그램,2.9,4.8,15600,15,False,12
C018,신입 연봉 협상 5단계,카드뉴스,커리어,인스타그램,3.1,5.0,16800,12,False,12
C019,점심시간 10분 트렌드 브리핑,숏폼,트렌드,유튜브,3.4,5.6,18200,16,False,12
C020,업무 효율 높이는 메일 작성법,카드뉴스,생산성,인스타그램,2.7,4.5,14300,16,False,8
C021,커리어 전환 고민 상담 후기,숏폼,후기,인스타그램,3.2,6.1,17100,15,True,12
C022,아침형 인간 되는 법 30초,숏폼,생산성,유튜브,3.0,4.9,16400,15,False,8
C023,요즘 채용 시장 분위기 정리,카드뉴스,트렌드,인스타그램,3.3,5.2,17900,15,False,12
C024,비전공자를 위한 데이터 분석 입문 완벽 가이드,블로그,커리어,블로그,3.6,4.2,12400,25,False,8
C025,노션 데이터베이스 200% 활용하는 방법 총정리,블로그,생산성,블로그,3.8,4.5,13900,26,False,12
C026,2026년 디지털 마케팅 트렌드 심층 분석 리포트,블로그,트렌드,블로그,4.0,4.8,15200,27,False,8
C027,주니어에서 시니어로 가는 커리어 성장 전략 7가지,블로그,커리어,블로그,3.5,4.0,11800,27,False,12
C028,수강 후기: 3개월간의 부트캠프 완주 솔직 기록,블로그,후기,블로그,3.3,5.5,10900,26,False,8
C029,생산성을 두 배로 높이는 시간 관리 프레임워크,블로그,생산성,블로그,3.7,4.3,13100,25,False,12
C030,개발자 이력서 작성법 현직자가 알려주는 핵심,블로그,커리어,블로그,3.9,4.6,14500,24,False,8
C031,생성형 AI가 바꾸는 콘텐츠 마케팅의 미래,블로그,트렌드,블로그,3.4,3.9,11200,23,False,12
C032,처음 시작하는 사람도 쉽게 따라하는 SQL 기초 문법 정리부터 실전 쿼리까지,블로그,커리어,블로그,1.4,2.1,6200,42,False,8
C033,바쁜 직장인을 위한 효율적인 업무 자동화 도구 완전 정복 가이드 모음집,블로그,생산성,블로그,1.6,2.3,6800,39,False,8
C034,2026 마케팅 채용 시장 전망과 준비해야 할 핵심 역량 총정리 분석,블로그,트렌드,블로그,1.8,2.5,7400,38,False,12
C035,후기 모음 - 다양한 수강생들의 진솔한 학습 경험과 변화 이야기 기록,블로그,후기,블로그,1.5,3.2,5900,38,False,8
C036,한눈에 보는 2026 콘텐츠 마케팅 지표,인포그래픽,트렌드,인스타그램,3.5,5.4,19200,22,True,18
C037,연봉 인상률 데이터로 보는 직무별 비교,인포그래픽,커리어,인스타그램,3.2,5.0,17600,21,True,18
C038,생산성 앱 사용률 통계 인포그래픽,인포그래픽,생산성,블로그,2.6,3.5,9800,18,False,12
C039,채용 트렌드 한 장 요약,인포그래픽,트렌드,유튜브,2.4,3.8,12700,13,False,12
C040,수강생 취업률 성과 인포그래픽,인포그래픽,후기,인스타그램,3.3,5.6,18100,16,True,18
C041,직무별 필수 스킬셋 비교표,인포그래픽,커리어,인스타그램,3.0,4.7,16300,14,True,12
C042,주간 콘텐츠 성과 리포트 샘플,인포그래픽,생산성,블로그,2.5,3.4,9100,16,False,8
